t,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs,RII_C_2_Obs
0,0.141608174916387,0.4829007253712,0.001849815370322,0.000341179779325819,0.00228075465384712,0.0707770628867532,0.463744000423976
7.5,NaN,0.46435482641802,NaN,NaN,-0.000236272345471466,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,0.0764126879604372,0.364610329318986
15,NaN,0.457229248816546,NaN,NaN,-0.00273577520219612,NaN,NaN
20,0.12201342752467,NaN,0.00693179383613312,0.000305157772750471,NaN,0.0825621663526544,0.431187787178596
25,NaN,0.431439778461786,NaN,NaN,-0.00151569891790375,NaN,NaN
30,NaN,0.441937372481578,NaN,NaN,NaN,0.0695800413166754,NaN
35,NaN,NaN,NaN,NaN,0.000868933094954451,NaN,0.424888545632589
40,NaN,0.444367499328141,0.0129146048137678,-1.3979706284413e-05,NaN,0.0765600360954514,NaN
45,0.131491875287012,NaN,NaN,NaN,-0.00234710446778215,NaN,0.446126463531282
50,NaN,0.44158688993003,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.00129715406222877,0.082943212696269,NaN
60,NaN,NaN,0.00971649913831147,NaN,NaN,NaN,0.452285255456812
65,0.188779774163379,0.281259623070263,NaN,0.00712308686370877,NaN,0.0825374942262904,NaN
70,NaN,NaN,NaN,NaN,0.0971334394511809,NaN,NaN
75,NaN,0.215218817416533,NaN,NaN,NaN,NaN,0.444998335365741
80,NaN,NaN,0.0941583305031975,NaN,NaN,0.085958370668993,NaN
90,0.294966244850413,0.194462136817406,NaN,0.00525856312703298,0.0969643922144162,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,0.488834783624095
100,0.281497990238561,0.21715080973214,0.0858647732793952,0.00468784452451051,0.0978123510844572,0.0808774210165919,0.433674444450343
150,0.267289486555366,0.222853540371461,0.0787702010791411,0.00528343347667272,NaN,0.0806401679332902,0.451947213852684
200,0.270296491651239,NaN,0.0838472049493934,0.00475782212822377,NaN,0.0834705319521682,0.459775688455682
250,0.273461106212482,NaN,0.0789490024627185,0.00505648246966258,NaN,NaN,NaN
300,0.291680543323718,NaN,0.0800332673680506,0.00476321702284852,NaN,NaN,NaN
350,0.263322394361282,NaN,0.083849506273866,0.00543952670576498,NaN,NaN,NaN
450,0.266280821143863,NaN,0.0786318201947161,0.00540784497147745,NaN,NaN,NaN
