t,EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISHnRNA3_Obs
0,0.00250085258611585,85.0268675110978,-0.511326619418947,-0.00113103541919426
5.5,NaN,NaN,36.1477567228741,NaN
8,NaN,37.1466629689509,NaN,0.00071304717587753
9,0.0296724355484017,NaN,NaN,NaN
10,NaN,NaN,44.5033441868334,NaN
15,NaN,31.6717436523886,40.6235345909129,0.00775279371995504
20,0.0307502192699687,NaN,NaN,NaN
25,NaN,38.8777996152128,31.6368482332997,0.0262064694315246
30,0.0293897396065851,NaN,27.6310500112177,NaN
35,NaN,44.3113330463092,NaN,0.0346183919899295
40,0.029273547122689,NaN,18.6172643301457,NaN
45,NaN,49.6759155777023,16.2619091289367,0.0323370554999996
50,0.025946672313938,NaN,NaN,NaN
55,NaN,57.6459337863537,13.0988073544503,NaN
60,NaN,NaN,NaN,0.0239325040335878
65,0.0288760325872188,NaN,NaN,NaN
70,NaN,68.1307117252239,12.054326629389,0.0169283751480674
85,0.0238253158916977,68.8547837134693,8.00603313184785,NaN
90,NaN,NaN,NaN,0.0123723200537865
100,0.0265532694773587,72.4852953373145,8.88607330072335,0.0106097954727652
150,0.0288580018543916,69.6717331091235,NaN,0.00962326292754969
200,NaN,69.6248835300843,NaN,NaN
