t,epo_level,EpoRpJAK2_Obs
16,2.5e-09,-0.00226481140544978
16,2.5e-09,0.00204930769095039
16,2.5e-09,0.00250236032696575
16,2.5e-08,0.00287677622346064
16,2.5e-08,0.00716453585267984
16,2.5e-08,0.0112574242595905
16,1.25e-07,0.0231709472348555
16,1.25e-07,0.0256007807055881
16,1.25e-07,0.0261907430356793
16,2.5e-07,0.0413473824786719
16,2.5e-07,0.0428790548733325
16,2.5e-07,0.0429924189610245
16,1.25e-06,0.100036006876821
16,1.25e-06,0.105835166236193
16,1.25e-06,0.107219314449692
16,2.5e-06,0.127476555776242
16,2.5e-06,0.129310720893628
16,2.5e-06,0.130438776725779
