t,CISHnRNA3_Obs,SOCS3nRNA5_Obs
0,6.1462061117965e-05,0.00767234503991673
3.5,5.74644834843046e-05,NaN
4,NaN,0.00752332543239268
7,4.3361923947455e-05,NaN
8,NaN,0.00608694557538435
10,2.73068487666536e-05,0.00480830793812788
15,3.8545488700888e-06,0.00125164505577955
20,-1.09192061871388e-05,-0.00128965015537574
25,-1.93505798393686e-05,-0.00253013236057496
30,-2.34553011205145e-05,NaN
35,-2.52661754835633e-05,-0.00324503280197883
40,NaN,-0.00329769065424697
45,-2.63853440669372e-05,-0.00331426871015577
55,-2.64123469879633e-05,-0.00331600396346063
65,-2.64930002835019e-05,-0.00330737285479807
80,NaN,-0.00331594989795791
