t,EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs
0,-0.000497669275611295,91.4582046993062,0.373064053865169
10,NaN,NaN,22.1058793597706
15,0.0236083173934729,2.9142114362066,NaN
20,NaN,NaN,26.2221288180898
30,0.0281809893139625,7.10136870975308,NaN
35,NaN,NaN,23.7351956745686
45,0.0297791393518145,NaN,22.4193443228805
50,NaN,10.4296495973087,NaN
60,0.0263446932889852,NaN,NaN
65,NaN,10.3667611420971,23.6941669499415
75,0.0298037540397009,NaN,NaN
80,NaN,NaN,19.3464419821405
90,NaN,12.5577178886531,NaN
95,0.029023558257287,NaN,NaN
100,0.0296959520510632,12.7345528543198,20.7088085290509
150,0.0291534612038187,13.7820635333946,NaN
200,0.0322553107729131,NaN,NaN
