t,EpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA3_Obs
0,0.000462663397867431,-0.0526687749079898,0.00101550396378136
6.5,NaN,41.2972544216731,NaN
7,0.0285529882164502,NaN,NaN
9.5,NaN,NaN,0.000665717806928949
15,0.0296731659152974,40.8277384949403,NaN
20,NaN,34.6841515989,0.0166902743341796
25,0.0293171898717567,31.3029611197088,NaN
30,0.0300620707952881,NaN,0.0315838781316779
35,NaN,22.928617676362,NaN
40,0.0278202119501565,NaN,NaN
45,NaN,16.8355861131903,0.0319697768667635
50,0.027110189736656,NaN,NaN
55,NaN,13.9493045291227,0.0272817613324393
65,0.0275284876411011,NaN,NaN
70,NaN,9.63378411621268,NaN
75,0.0294844076839734,NaN,0.016209331699227
85,NaN,8.4101287727009,NaN
90,NaN,NaN,0.0119159890418506
95,0.0282420210885289,NaN,NaN
100,0.0291992821314274,8.69978661626353,0.0115976290710467
150,0.0268902609318333,NaN,0.00991952992164298
