t,epo_level,CISHnRNA3_Obs
27,6.6667e-07,0.000141314895418394
27,6.6667e-07,0.000161701642741321
27,1.3333e-06,0.000228058505609459
27,1.3333e-06,0.00022885054829294
27,2.6667e-06,0.00028859373614962
27,2.6667e-06,0.000336012226522792
27,5.3333e-06,0.000361744463389812
27,5.3333e-06,0.000365587364687588
27,1.0667e-05,0.000381574633570226
27,1.0667e-05,0.000416995955037707
27,2.1333e-05,0.000413518244740581
27,2.1333e-05,0.000446033380239331
27,4.2667e-05,0.000421551441231228
27,4.2667e-05,0.000428996479528037
