t,EpoRpJAK2_Obs,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs
0,0.00183617485624059,96.1135004958381,0.000127142647401028,0.000122496235754793
15,0.0339904015881381,90.889411805197,0.000197481440064189,0.000119893988225324
30,0.0283415533500292,81.6624832053721,NaN,NaN
35,NaN,NaN,0.00199903879259875,0.00103357056909026
45,0.0279883042150367,85.4283692879816,NaN,NaN
50,NaN,NaN,0.00346426066255308,NaN
55,NaN,NaN,NaN,0.00307008280291145
60,0.025710138729348,86.7369026886604,NaN,NaN
70,NaN,NaN,0.00316200059777076,NaN
75,NaN,NaN,NaN,0.00325776340197955
80,0.027725119965057,91.3575337201848,NaN,NaN
95,NaN,NaN,0.00201308440214718,NaN
100,0.0279363293148017,89.0254958223207,0.00190343597284348,0.00230341721797855
150,0.0257587112422938,85.5532750262275,0.00110301246698193,0.00128304117387146
200,0.0298475132345264,87.887003583115,0.0011491750628683,0.000988696547954284
250,NaN,87.6596393798513,0.00100754796357007,0.00105074532389779
