t,epo_level,EpoRpJAK2_Obs,CISHnRNA3_Obs
11,0,-0.000780397601341104,7.46519382947291e-05
11,0,-0.000762214110276127,8.26716629495812e-05
11,4.2857e-08,0.00363721156373205,7.32766768471547e-05
11,4.2857e-08,0.0040202755870267,3.52681817382199e-05
11,1.4286e-07,0.0114282409659225,8.66005507268466e-05
11,1.4286e-07,0.0122006132473921,7.55975862226725e-05
11,4.2857e-07,0.0275754664349382,8.08695315263183e-05
11,4.2857e-07,0.0276728247835573,7.60129859283542e-05
11,1.4286e-06,0.0432077192529958,0.000176766034701474
11,1.4286e-06,0.0444686675456776,0.000200594510776651
11,4.2857e-06,0.0255452103398234,0.000400981043522304
11,4.2857e-06,0.0269502524967148,0.000385380721891141
11,1.4286e-05,0.0168008823874089,0.000621724813226723
11,1.4286e-05,0.0175441717664762,0.000628727425111033
11,4.2857e-05,0.0197215282766905,0.000725355692093602
11,4.2857e-05,0.0199382383760957,0.000728182860916081
