t,EpoRpJAK2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs
0,0.00222894498705831,-3.81420214372772e-06,9.15171314765208e-05
15,NaN,0.00108109285843345,0.000377823684279802
20,0.0320600017497885,NaN,NaN
35,NaN,0.00109231828356545,0.00118782364786714
45,0.0660203392718376,NaN,NaN
50,NaN,0.00101485996939808,0.00102709768247653
70,0.0804357589515277,0.00097338948977414,0.000984957837686393
95,0.096976535052133,0.00104243027218536,0.00100392825158691
100,0.0985582224557061,0.000941812518740605,NaN
150,0.106416990695759,0.00101753938713416,0.00100156671012347
200,0.116951369353471,0.00102482970382236,NaN
250,0.121750465729884,NaN,NaN
300,0.122187259062969,NaN,NaN
350,0.112086922976027,NaN,NaN
400,0.127108572761324,NaN,NaN
