t,EpoRpJAK2_Obs,STAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs
0,0.000871035088992342,91.8701212837649,0.00173405961163108,-0.00148918507629322
8.5,0.0206211438002308,13.0921730042033,NaN,NaN
9,NaN,NaN,NaN,0.000662471935110472
10,NaN,NaN,0.00202149161893341,NaN
15,NaN,5.88280382281291,NaN,NaN
20,0.0266636066354803,NaN,0.0283682200388482,0.00572397279605289
25,0.0302351108737488,7.9665643061834,NaN,NaN
30,NaN,NaN,0.0471953657886128,0.0289347037084652
35,NaN,13.8312612678299,NaN,NaN
40,0.0304841395273655,NaN,NaN,0.0452337409747594
45,NaN,26.6278299361853,0.0488238138745513,NaN
50,0.0319172868900292,NaN,NaN,0.0462382959186834
55,NaN,NaN,0.0401009271465798,NaN
60,NaN,34.1701159126124,NaN,NaN
65,0.0299558908111762,NaN,NaN,0.0407565824475058
75,NaN,40.7746474812912,0.0291511684303959,NaN
80,0.031648864188109,NaN,NaN,NaN
85,NaN,NaN,NaN,0.0317168557520055
90,NaN,NaN,0.0297142808270238,NaN
95,0.0311412026909002,42.7756662102379,NaN,NaN
100,NaN,43.2444295230442,0.0297850745798921,0.02657431657583
150,NaN,39.2236279904001,0.0293536506266284,0.0290864101238028
