t,EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA5_Obs
0,-0.00107510839520181,88.1994113006049,-2.42197110290895,-0.870075363304514,-0.00162022702058437,-0.0011328940743035,0.00758803806023597
10,0.0223605871488664,NaN,68.7372309549879,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,0.00352420121282964,NaN
20,0.029586889725169,5.61175353243265,NaN,26.5974046981182,NaN,NaN,0.0147890396372988
25,NaN,NaN,47.4430890506634,NaN,0.0369992718854595,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,0.0276846110479644,NaN
35,0.0284168099909667,NaN,32.3492795382178,NaN,NaN,NaN,NaN
40,NaN,21.5654887994168,NaN,20.2081993147916,NaN,NaN,0.028792543873858
45,0.029928351599226,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,27.8117706775134,NaN,0.0437073137948639,0.0462553530762704,NaN
60,0.030877122977714,35.5899121786984,NaN,14.4296293773995,NaN,NaN,0.0213757577657116
65,NaN,NaN,25.323963407962,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.037088865031983,NaN
75,0.0338125468796338,NaN,NaN,NaN,0.0275624757692892,NaN,NaN
85,NaN,45.3054378926306,25.197424210481,13.3666589784812,NaN,NaN,0.0169325319823412
90,NaN,NaN,NaN,NaN,NaN,0.0277646898059001,NaN
95,0.0294651934413889,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0309323300122916,40.0774341316959,27.3630295914876,13.0925357892892,0.0291557881249804,0.0270659009827485,0.0155643993816677
150,NaN,37.1744605984723,24.838835539674,14.2036778307139,0.0295089322102465,0.0294580541393847,0.0187127072692418
200,NaN,38.9445128220255,24.3082395249346,12.4821085202196,0.0279049728089536,0.0280744289241971,0.0173940146905438
250,NaN,43.3490299203903,23.9384528910312,12.8166468761798,0.0270752180525786,NaN,0.01679228159573
300,NaN,40.1036239721007,NaN,12.738113457309,0.0279105379153225,NaN,0.0176841427046108
350,NaN,NaN,NaN,NaN,NaN,NaN,0.0190215803921113
400,NaN,42.8152333371881,NaN,13.5390809106203,0.0274818133173547,NaN,NaN
