t,EpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA3_Obs
0,-9.50022010425586e-05,-0.793026339558436,0.00133280355336709
4.5,NaN,35.5875101115325,NaN
6,0.0209387449015731,NaN,NaN
7.5,NaN,NaN,0.000165162117901795
9.5,NaN,67.6832106038663,NaN
10,0.0204953147208071,NaN,NaN
15,NaN,58.9380416206188,0.0120265759190138
20,0.0290900508276564,52.2509074854446,NaN
25,0.0296393528903981,47.4763887786585,0.035723548336366
30,NaN,40.4881912602104,0.0442965108662086
35,0.0291185876179069,NaN,NaN
40,NaN,33.7230690163654,NaN
45,0.0293386982442885,26.8517479019274,0.0483134047677796
55,0.0316370422116255,25.7951804221196,0.0428940495249201
65,0.0307290585462107,25.0192776342887,NaN
70,NaN,NaN,0.0320795706707588
80,0.0320300481333464,23.6005993524043,NaN
85,NaN,NaN,0.0283248765721811
95,0.0299298394348385,24.2769253290433,NaN
100,NaN,NaN,0.0273227152553037
