t,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs,Compound_1_Obs
0,145.516326959643,1371.67280508685,922.962787725403,7.32115119727021e-06,1479.64966359758
6.5,NaN,NaN,NaN,-9.99032820785324e-08,NaN
15,NaN,NaN,NaN,9.04469297798828e-08,NaN
20,3.54203024564137,14.8530979441749,NaN,1.96191040052898e-07,NaN
25,NaN,NaN,-3.13696452585812,NaN,NaN
30,NaN,NaN,NaN,-7.07878180632309e-08,11053.3723484141
40,NaN,NaN,NaN,-4.16302943568959e-08,NaN
45,-0.867167754240212,-19.1184985487208,NaN,NaN,NaN
50,NaN,NaN,5.02209077423716,-1.16139112025781e-07,NaN
60,NaN,NaN,NaN,-1.64686088337973e-07,4734.44463993883
65,NaN,-0.600846980178135,NaN,NaN,NaN
70,-1.28085930191139,NaN,NaN,NaN,NaN
75,NaN,NaN,7.61127195889266,3.82470268858436e-08,NaN
90,NaN,-17.4564455748479,NaN,NaN,2016.26855976848
95,1.76186154116799,NaN,NaN,NaN,NaN
100,NaN,-5.2290682803426,23.7618795651671,NaN,1958.03425221943
150,0.446972334600714,-3.17344016402278,-0.119094082546073,NaN,1257.30864464064
200,3.22041824762289,7.12499981051349,13.0775250803292,NaN,1216.07929161332
250,-4.36597362950803,2.15846220663974,5.12188791645694,NaN,860.46871800741
300,2.12442647001998,-10.7437899276729,8.54281301439647,NaN,61.4242360509686
350,0.655928921284603,6.60638658068482,NaN,NaN,722.145559047717
400,NaN,NaN,-17.4658044345355,NaN,612.477431941928
500,NaN,NaN,NaN,NaN,645.913034483457
