timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.00171262605341322,11.6316796885136,-0.103113806937919
150,0.0646325176950752,NaN,NaN
350,-0.0174727125207086,NaN,NaN
400,NaN,NaN,-0.0836381158297894
450,NaN,10.5374118529372,NaN
550,0.079817515204977,NaN,NaN
750,0.0936222394494577,NaN,NaN
800,NaN,NaN,0.134569386709607
900,NaN,10.4506941447189,NaN
1000,0.194204072643358,NaN,0.42782271040581
1500,0.578959279477668,8.04586013591179,1.49339765086479
2000,NaN,4.92046235428678,1.86145651520561
2500,NaN,3.69987238720293,2.07014803397474
3000,NaN,3.0588987687734,NaN
3500,NaN,NaN,1.46099373221713
4000,NaN,2.13284313577867,1.12360206452406
5000,NaN,0.539663442630402,1.00069667359553
6000,NaN,0.472288582510602,0.799356546482856
7000,NaN,-0.49461710657635,0.632415753958918
8500,NaN,0.19023204810392,0.239304236867529
