timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0799008758381378,12.3720122090069,0.0985403336448447
350,0.0905048103973498,NaN,NaN
400,NaN,NaN,0.04326203468122
450,NaN,8.86156192799616,NaN
750,-0.0551475389390798,NaN,NaN
850,NaN,NaN,-0.182217227364975
900,NaN,9.064473296355,NaN
1000,0.0747164705402025,NaN,NaN
1500,0.0557884806072461,9.56279779873743,0.60345684915884
2000,0.239500485920379,7.84921994225897,0.799059300354175
2500,0.316623210531984,8.42006104474792,1.33198115647764
3000,0.5181615666053,NaN,1.48836712483216
3500,NaN,6.04162294037728,1.55103518021163
4000,0.735157712092098,3.7086115080426,1.33954642539707
5000,0.822991897391883,1.01200209230597,1.16906277277634
6000,0.673319253264251,NaN,1.06163488433212
6500,NaN,0.708067070188194,NaN
7000,0.577444090553836,NaN,0.87866576929745
8000,NaN,0.80319451511873,NaN
8500,0.765798376138051,NaN,0.511991291455388
