timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.045822567908683,10.0278869716886,0.409663383549294
45,NaN,0.159291331173158,NaN
90,NaN,-0.310567519531864,NaN
150,NaN,-0.152666311725107,NaN
200,-0.0119239108670056,-0.532815087263126,NaN
250,NaN,-0.33406464117355,NaN
350,NaN,-0.530342197341377,10.9625550339051
400,0.0107275426624131,NaN,NaN
450,NaN,0.10225145219337,NaN
650,0.0759972143762744,NaN,NaN
700,NaN,NaN,7.82912774373897
900,0.0721038570543504,NaN,NaN
1000,0.0975292904605547,NaN,8.58418538674922
1500,0.243574689908614,NaN,6.10482687965436
2000,0.386097504020616,NaN,6.64553012032441
2500,NaN,NaN,7.03857832052099
3000,NaN,NaN,6.56278040329374
3500,NaN,NaN,7.08476810149747
4000,NaN,NaN,6.13227714603859
5000,NaN,NaN,4.64704493036592
6000,NaN,NaN,4.13748234168869
7500,NaN,NaN,2.96425255606564
