timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0517864700815414,9.88374398261303,0.13256809014368
150,-0.0156540904428433,9.19816577933515,NaN
350,0.0619169642524021,10.3136309750793,NaN
400,NaN,NaN,-0.00600452756433878
500,NaN,9.09216301309567,NaN
550,0.0260061463499839,NaN,NaN
700,NaN,8.05931508908172,NaN
750,0.0784356989359114,NaN,NaN
850,NaN,NaN,0.907842577879842
900,NaN,8.54063832333197,NaN
950,0.117269515225032,NaN,NaN
1000,0.175729531062906,7.78091226643304,NaN
1500,0.297836966881581,1.92686400305865,6.32885715797837
2000,0.476958383501638,-0.120690343882997,7.38096243949871
2500,0.537900911588505,1.25228853427437,4.82450212135256
3000,0.545529264568053,0.887270926594043,5.37594027327174
4000,NaN,NaN,4.17903039394648
4500,NaN,NaN,5.42254457469585
5500,NaN,NaN,3.43639202478855
7000,NaN,NaN,2.71854008737049
8500,NaN,NaN,1.23314461419013
