timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0740100152080859,10.0507618202723,-1.78489826705961
40,NaN,-0.441647777640846,NaN
80,NaN,0.219417682890644,NaN
100,NaN,-0.440201687647955,NaN
150,0.147057860449527,-0.081927979531884,NaN
250,NaN,-0.168585180673221,NaN
300,0.246681602034419,0.276737441780967,9.19831888536539
350,NaN,-0.0289582400824995,NaN
450,0.101383927123037,0.321988137911319,NaN
600,0.145693814066027,NaN,9.27493501977742
750,0.231774990704031,NaN,NaN
900,NaN,NaN,8.75565458966044
950,0.672090055120854,NaN,NaN
1000,0.4875058912716,NaN,NaN
1500,1.25296921959334,NaN,7.89058738914404
2000,1.19272344839103,NaN,7.47276901890859
2500,1.28651285013794,NaN,5.68665846286671
3000,NaN,NaN,5.65102239897144
3500,NaN,NaN,5.30347570024062
4000,NaN,NaN,5.70825209677837
5000,NaN,NaN,5.9150985736984
6000,NaN,NaN,5.12669703037127
7000,NaN,NaN,3.98864361832045
