timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.00268969944132683,9.78799832130792,-0.306407563674239
100,-0.00663426104224665,NaN,NaN
150,NaN,9.60014811488598,NaN
250,0.0499586171475085,NaN,NaN
350,NaN,9.51663162293453,0.747893243054831
400,0.17073522308522,NaN,NaN
500,NaN,8.8563915033009,NaN
550,0.162449312153986,NaN,NaN
700,0.346351683946834,7.13479749429179,NaN
750,NaN,NaN,3.91690231455386
900,0.39146669573563,3.73337170205135,NaN
1000,0.430471227316484,1.56805876772647,5.45989677987359
1500,NaN,0.989333624944777,8.14737451341483
2000,NaN,-0.415404551583445,7.18041105549068
2500,NaN,-0.0158498099024336,6.26906931178461
3000,NaN,0.0201353296750338,6.62611546337462
3500,NaN,NaN,3.30645637036699
4500,NaN,NaN,3.77927138576872
5000,NaN,NaN,2.88015417593473
6000,NaN,NaN,1.99183177970972
7000,NaN,NaN,3.63531327830165
8500,NaN,NaN,0.904544374050209
