timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0160922903765256,9.89529164962927,0.642433864986715
40,NaN,-0.264661979279151,NaN
80,NaN,0.0465116386157224,NaN
150,NaN,-0.0266033711728503,NaN
200,0.0130148563962322,0.106999057487071,NaN
250,NaN,-0.110365069375483,NaN
300,NaN,-0.0128282327827799,10.8406749183631
350,-0.0616242815983321,NaN,NaN
400,NaN,0.334634638472306,NaN
450,NaN,0.0837405429399475,NaN
550,0.0683575728384665,NaN,NaN
650,NaN,NaN,11.3206669890487
750,-0.0391601882991165,NaN,NaN
950,0.126780015908222,NaN,NaN
1000,0.121014982436534,NaN,8.81647670023322
1500,0.303790803222031,NaN,7.91362970345582
2000,0.476881951917204,NaN,7.85212827689177
2500,0.572339137830673,NaN,6.84579903089976
3000,0.62870472292806,NaN,7.02269602207058
3500,0.671197667442032,NaN,NaN
4000,NaN,NaN,5.7714978220747
4500,NaN,NaN,8.3735330837528
5500,NaN,NaN,4.06203681304819
6500,NaN,NaN,6.17931113376535
7500,NaN,NaN,4.39814961416889
