timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0235221917034003,8.7485654011747,-0.0348520290339809
200,-0.0553087444642335,NaN,NaN
400,0.0760600151169233,NaN,NaN
450,NaN,10.99982348795,-0.100280332738198
600,0.0611374795338411,NaN,NaN
850,0.0751929019112298,NaN,NaN
900,NaN,11.0973535461487,0.233272583526603
1000,0.232751367612817,NaN,NaN
1500,0.34626100929035,8.82189161419602,0.869309799778797
2000,0.371795448326053,8.28611590277916,1.2725343972274
2500,0.403057238096437,6.84000144534651,1.27152310836575
3000,0.423283539998288,6.16110094607317,1.32190588490537
3500,0.470898289746867,NaN,NaN
4000,NaN,3.29852846847398,1.13713636968603
5000,NaN,2.5694122640364,0.926531245947063
6000,NaN,1.44699151255434,0.883338314472932
7000,NaN,1.73507728669032,0.711010452327112
8500,NaN,1.39440431973512,0.728510102367475
