timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0008642419667555,9.0403851964434,0.0324072213164566
350,NaN,8.18229389796183,NaN
400,0.0386627926004196,NaN,NaN
450,NaN,NaN,0.869005448601694
700,NaN,9.66335080399399,NaN
850,0.0452549191626085,NaN,NaN
900,NaN,NaN,0.731397938599906
1000,NaN,10.2560243977568,NaN
1500,0.0260352978760347,10.761589913024,-0.0367273179355496
2000,-0.0155835592837915,7.23853473793692,1.36123799838494
2500,0.0724158104962715,8.91366977530388,1.22858739134552
3000,0.439347092574081,5.77556474520916,3.71871882581143
3500,0.499407158288358,0.637086774839679,NaN
4000,NaN,NaN,5.9289438034646
4500,0.649356229000911,1.57211306977973,4.35234706169027
5500,0.706953949236822,1.21098191572764,NaN
6000,NaN,NaN,3.56720601997982
6500,NaN,0.181918073826334,NaN
7000,0.673810644704747,NaN,1.77170137966453
8500,0.590586891416554,NaN,1.20613585280516
