timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0285581388551397,9.90500062748896,0.482268629946448
35,NaN,-0.229627696150775,NaN
75,NaN,0.200219346554561,NaN
100,0.0710903672799449,-0.111284031928549,NaN
150,NaN,-0.151088794946343,NaN
200,-0.0510915584961562,0.136388038570806,NaN
250,NaN,-0.0854202594549695,NaN
300,0.153720709960243,NaN,11.0911988425353
350,NaN,-0.338516827736249,NaN
400,0.307689034619313,-0.100568237974563,NaN
550,0.371528086028812,NaN,NaN
650,NaN,NaN,9.83988456671226
700,0.766979343654402,NaN,NaN
850,0.791660010488273,NaN,NaN
1000,0.937735330069987,NaN,7.29023677907627
1500,0.850215349246925,NaN,7.24803228577851
2000,0.877748341437544,NaN,6.38302991413082
3000,NaN,NaN,6.97629728366545
3500,NaN,NaN,5.65172331093332
4000,NaN,NaN,6.28751369621176
5000,NaN,NaN,5.77399160003214
6000,NaN,NaN,4.84666145874425
7000,NaN,NaN,3.6593969538033
