timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0206559399457472,9.80422104319331,-0.114201777993379
350,NaN,12.0901761456906,NaN
400,0.0310378835836576,NaN,0.173666341873849
750,NaN,10.2159156694627,NaN
800,-0.0103650535927768,NaN,0.0762504687455807
1000,0.0446827138046533,10.5861155914819,0.175737729732566
1500,0.12044223750242,9.79473793526687,0.4460259266363
2000,0.0575686623831475,9.72392642572286,0.483369273197012
2500,NaN,7.70270117084431,0.85562662420963
3000,0.295673555955378,7.91235688755456,NaN
3500,0.405999482418707,NaN,1.24297666529779
4000,NaN,7.7219865603379,1.48338146822815
4500,0.601962827956961,NaN,NaN
5000,NaN,3.02204356242347,1.25904565555158
5500,0.641965277370314,NaN,NaN
6000,NaN,2.45003406335611,1.16403821073579
6500,0.655786845348609,NaN,NaN
7000,NaN,NaN,0.668348967223447
7500,NaN,0.803711565465341,NaN
8500,NaN,NaN,0.811450626686894
