timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.142298661751359,10.0065555605382,-1.12668136453183
40,NaN,0.0468104476310217,NaN
75,NaN,0.412662061426548,NaN
100,NaN,0.0241496917054196,NaN
150,NaN,0.283780094547298,NaN
200,-0.165183136488756,0.246555820354428,NaN
250,NaN,NaN,10.5292195019144
300,NaN,0.14360899515018,NaN
350,NaN,-0.00731605019878538,NaN
400,0.0314673202171205,NaN,NaN
450,NaN,0.0379429770478686,NaN
500,NaN,NaN,8.93063312847476
650,0.0612034396755713,NaN,NaN
750,NaN,NaN,8.42237680588087
850,-0.169761948970018,NaN,NaN
1000,0.272304829137707,NaN,8.4431550186896
1500,0.710967863922123,NaN,5.78885480826967
2000,0.966962802990527,NaN,7.47914825353602
2500,0.8912042671533,NaN,5.36631224528497
3000,1.03942287172053,NaN,7.25860397545282
3500,1.37965172292604,NaN,6.52485057913604
4000,1.05337831122725,NaN,NaN
4500,NaN,NaN,4.9595817672851
5500,NaN,NaN,5.55155761516379
