t,K27me0K36me0_Obs,K27me2K36me0_Obs,K27me1K36me2_Obs,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.00262600451016116,0.00371547930262614,0.525035191350235,0.0528303792589457,0.0260194874961574,0.00148064564925057,0.00216115070509955,0.000881831290721209
0.25,0.000179877539445581,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.55,7.08937212348376e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.85,1.93900312436622e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5.07504983702641e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,3.1692931435211e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1.01668057318565e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,-4.03034427839658e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,5.36863923675706e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00104278899719701
4,NaN,NaN,0.548946542029524,NaN,0.0255267842700071,0.00138840251844626,0.00187966505162271,NaN
4.5,NaN,0.00372359251123091,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,0.0562378348779081,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00100067624829226
8,NaN,NaN,0.48063132858353,NaN,0.0263170648644542,0.00143064068099525,0.00241059319178684,NaN
8.5,NaN,0.00362459334295309,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.596431876519597,0.0630610684766167,0.030310318521241,0.00127550644535611,NaN,0.00110880726865515
15,NaN,0.00398171429800872,0.631301913140993,0.0698927399940839,NaN,0.00150176400121073,0.00266663761887351,NaN
20,NaN,0.00356142587860793,NaN,0.0818983913076297,0.0353901077516997,0.00149692605429367,0.00269171537276655,0.000897084442104308
25,NaN,0.00395710291632931,0.446508622063134,NaN,0.0342720027880587,NaN,0.00282985135416834,0.000994086214260879
30,NaN,0.00338134759091287,0.573458091309618,0.0839479819880098,0.0384667239552645,0.00139258908172327,0.00288143585941709,0.00090126996402738
35,NaN,NaN,NaN,NaN,NaN,0.00162975120064518,NaN,NaN
40,NaN,0.00404866684266657,0.698307745974676,0.0759165609416469,0.0401101926511737,0.00149828531195187,0.00296155388459938,NaN
50,NaN,0.00388731721904755,0.663241045945752,0.0701906080105402,0.0383279161510088,0.00155117767337516,0.00338192601652551,NaN
60,NaN,0.00393850581453475,0.71874167625808,0.0864348761634904,0.0376065561723335,0.00167054717900758,0.00334202807445064,NaN
