t,STAT5_Obs,Rec_i_Obs,Rec_Obs
0,128.982007570702,331.863498144269,1.21495995086447
3.5,NaN,NaN,1.81153264566458
4,NaN,294.762512314406,NaN
5,143.867046860899,NaN,NaN
7.5,NaN,NaN,2.20413794719695
8.5,NaN,244.766630189555,NaN
10,160.565123792398,NaN,1.99378335659538
15,172.821043590014,320.540122294985,1.99460851382233
20,NaN,252.84241954834,2.03066344063554
25,166.544152841388,343.114294744606,NaN
30,125.849790726878,NaN,2.14891528868059
35,NaN,315.193768551688,2.06631230168166
40,NaN,309.607211978712,NaN
55,NaN,325.855709614343,NaN
