t,STAT5_Obs,SOCS3mRNA_Obs
0,171.496185875434,-45.5972215155948
10,153.01531875493,-10.2706324311961
20,157.103518567551,-8.31112762899086
30,NaN,104.588789214872
35,102.219024918638,NaN
45,82.4456466231745,386.030843386687
55,121.971444689132,218.158817660981
70,127.33711341822,568.84683306477
85,123.014834121988,NaN
90,NaN,526.350147712823
100,100.640953900877,828.595504703084
150,128.398247388263,1254.6716588399
200,119.552438294544,1644.74702218994
250,149.24140089221,1895.47961944506
300,134.567686489566,2361.91928581576
