t,STAT5_Obs,pSTAT5_Obs,SOCS3_Obs
0,177.808182171631,4.65910497252259,-33.8476650866703
10,141.644658575221,NaN,NaN
15,NaN,42.9777592565405,-1.51896401163965
25,102.273926838129,54.8461504456967,115.053459852897
40,99.181780033831,71.494827812314,210.518129947719
55,98.965005522555,67.8182855518826,241.432324445864
70,83.3606913951113,71.8824726085578,415.222623385396
85,109.577997139343,NaN,369.429951325181
90,NaN,61.0552016154294,NaN
100,100.393279470254,71.9893175200205,525.680663424606
150,94.9219977870973,69.3746337703827,549.466280714355
200,114.203795673266,56.045935552799,625.042937205055
250,109.466204337797,59.9398223030953,580.406386533184
300,96.5217628797391,55.7039817951598,679.040779556161
