t,STAT5_Obs,pSTAT5_Obs,SOCS3mRNA_Obs,SOCS3_Obs
0,156.112963375678,0.338442655979073,117.072326719716,0.380833121996907
10,NaN,25.3585353831586,116.543853506081,-41.2263908135266
15,104.108099273323,NaN,NaN,NaN
20,NaN,NaN,102.634752928928,NaN
25,108.317926013815,51.3849860138565,NaN,22.9911111969262
35,NaN,55.6095229169773,292.244724071344,149.557119298418
40,109.496480826985,NaN,NaN,NaN
45,NaN,NaN,210.503451222532,NaN
50,NaN,66.2074663537913,NaN,221.777199056494
55,113.421777266008,NaN,NaN,NaN
60,NaN,NaN,483.4613453605,NaN
65,NaN,68.9226308505597,NaN,351.417501051625
70,110.816483311737,NaN,NaN,NaN
75,NaN,NaN,758.689106333492,NaN
80,NaN,70.2746814642977,NaN,NaN
85,NaN,NaN,NaN,407.262768575541
90,92.2539418782524,NaN,NaN,NaN
95,NaN,NaN,968.766662755114,NaN
100,115.605092649927,56.986477757876,923.968007568862,455.212064782351
150,117.203808759457,54.6702806494419,1671.65734962438,558.470693958586
200,115.16656140077,59.5980905341051,2017.87196543091,NaN
250,111.980158271886,49.7738920498544,2557.00676906736,NaN
300,88.6386073808596,55.0860055697664,2923.21261880365,NaN
