t,EGFR_Obs,pAkt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,67642799.0325317,0.00012663173007865,160.32022427682,6.03701667759782e-09,68225421.3521663
60,NaN,NaN,169.992808278504,NaN,NaN
100,NaN,NaN,167.841950411888,NaN,NaN
200,NaN,NaN,167.756194524772,NaN,NaN
250,NaN,NaN,169.921379656254,NaN,NaN
300,NaN,NaN,NaN,NaN,40169592.2492724
350,36738519.2633617,0.0122445460816716,161.906281716526,6.6393122104954e-07,NaN
400,NaN,NaN,169.134566472437,NaN,NaN
550,NaN,NaN,166.524063293505,NaN,NaN
600,NaN,NaN,NaN,NaN,26150499.1008418
650,NaN,NaN,159.519723863874,2.08560093040362e-06,NaN
700,19482810.5702446,NaN,NaN,NaN,NaN
750,NaN,0.00792012292453744,NaN,NaN,NaN
800,NaN,NaN,172.79846766126,NaN,NaN
950,NaN,NaN,168.178993877658,NaN,NaN
1000,13382985.1312259,0.00632340382251657,NaN,3.64011096038017e-06,11798134.5932475
1500,4820549.12543471,0.00320071369575861,NaN,5.02613120377885e-06,7013177.40565302
2000,2015817.93253687,0.0016055094721714,NaN,5.26326321130377e-06,2957286.27807596
2500,78317.6770157871,0.000591555047344612,NaN,4.92429987287884e-06,1177503.84794753
3000,NaN,NaN,NaN,4.2761490358313e-06,NaN
3500,NaN,0.00024380497141661,NaN,3.55697638686679e-06,NaN
4000,NaN,0.000259351658453032,NaN,2.50298929189226e-06,NaN
5000,NaN,0.000139868994912808,NaN,1.57461177702132e-06,NaN
5500,NaN,NaN,NaN,9.9936326893189e-07,NaN
6000,NaN,-1.56572799935256e-05,NaN,NaN,NaN
6500,NaN,NaN,NaN,6.68862318626378e-07,NaN
