t,EGFR_Obs,pAkt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,67654808.3641856,-3.80881352169852e-05,164.523623022923,-1.74486705488292e-08,67909243.9302455
40,5681035.38668241,NaN,NaN,NaN,52216151.6192737
80,808848.525841084,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,24245558.3888231
100,702199.257735302,NaN,NaN,NaN,NaN
150,90817.3650883569,NaN,NaN,NaN,5647010.4218552
200,317397.928070173,0.0182833028948943,153.553366407341,NaN,2778084.79439281
250,NaN,NaN,NaN,NaN,250815.451715799
300,-48225.7295863608,NaN,NaN,1.04577118787728e-06,18803.546314817
350,323649.743646061,NaN,NaN,NaN,NaN
400,NaN,NaN,164.207273985826,NaN,-886854.243529573
450,-220737.505648164,0.00331130575146855,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,1368336.43189453
600,NaN,NaN,162.748960341418,NaN,NaN
650,NaN,NaN,NaN,2.73523433501153e-06,NaN
700,NaN,0.000422739727516604,NaN,NaN,NaN
850,NaN,NaN,165.475125521391,NaN,NaN
950,NaN,0.000243437738921945,NaN,3.33422146678068e-06,NaN
1000,NaN,NaN,173.790094593048,NaN,NaN
1500,NaN,0.00015142912229605,170.126441384089,3.12309156650383e-06,NaN
2000,NaN,0.000160931315913206,169.642238182552,2.72249904872296e-06,NaN
2500,NaN,1.35806496044019e-05,169.524537718188,2.12000379374297e-06,NaN
3000,NaN,4.45470069885416e-05,172.997075350777,NaN,NaN
3500,NaN,NaN,NaN,1.19809343265047e-06,NaN
4000,NaN,NaN,NaN,9.27691399085621e-07,NaN
5000,NaN,NaN,NaN,5.65783107885796e-07,NaN
6000,NaN,NaN,NaN,3.70150518743381e-07,NaN
