t,EGFR_Obs,pAkt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,67783863.3246819,0.000242930179581061,179.708749615821,4.81347919425867e-08,67395842.5335194
50,NaN,NaN,176.762681941162,NaN,NaN
100,48647934.5920971,NaN,163.831376109096,NaN,54856290.2486734
150,NaN,NaN,179.546368078592,NaN,NaN
200,34990271.7752301,NaN,164.179205893137,NaN,41467241.8684854
250,NaN,NaN,172.948992533215,NaN,NaN
300,NaN,0.0172973848008329,NaN,NaN,NaN
350,23545669.0433007,NaN,176.493072730853,NaN,27256702.803372
400,NaN,NaN,164.082531551939,NaN,NaN
450,15877693.003202,NaN,NaN,1.60022784721525e-06,19409182.9906272
500,NaN,NaN,168.384824264952,NaN,NaN
600,10504780.0420397,0.0122185977689339,162.668974911254,NaN,13832398.5682393
700,NaN,NaN,167.414444799533,NaN,NaN
800,6803797.48389142,NaN,NaN,NaN,5856545.29624605
850,NaN,NaN,168.735084015906,4.24459035436808e-06,NaN
900,NaN,0.00744770946505186,NaN,NaN,NaN
1000,3542989.65959967,NaN,NaN,NaN,4497412.01475023
1500,943669.130929238,0.00202181991647664,NaN,6.58099639303214e-06,NaN
2000,-40981.9605268802,0.000999595526212883,NaN,6.47326610419761e-06,NaN
2500,NaN,0.000436352755422804,NaN,5.31694267620789e-06,NaN
3000,NaN,NaN,NaN,4.16201952068792e-06,NaN
3500,NaN,0.000393361982506898,NaN,3.47474218820364e-06,NaN
4000,NaN,-2.03727993246679e-05,NaN,NaN,NaN
4500,NaN,NaN,NaN,2.03854089610496e-06,NaN
5000,NaN,NaN,NaN,1.36845582189988e-06,NaN
6000,NaN,NaN,NaN,7.210617766369e-07,NaN
7500,NaN,NaN,NaN,3.428976616212e-07,NaN
8500,NaN,NaN,NaN,7.13171584732553e-08,NaN
