t,EGFR_Obs,pAkt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,67754795.1801181,8.93961896779988e-07,169.54860751883,1.00472773011723e-07,68174180.8185432
50,NaN,NaN,175.457453292084,NaN,NaN
100,NaN,NaN,172.700990367905,NaN,NaN
150,NaN,NaN,166.442041890221,NaN,NaN
200,NaN,NaN,156.260101283093,NaN,NaN
250,49562502.0676967,NaN,NaN,NaN,49084205.8928382
300,NaN,NaN,162.193538545331,NaN,NaN
350,NaN,NaN,170.488932567223,NaN,NaN
400,NaN,NaN,NaN,3.26600928101613e-07,NaN
450,36840184.2965219,0.00611568257219495,171.368718433094,NaN,NaN
500,NaN,NaN,NaN,NaN,35837701.2798552
700,25650860.803104,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,23562098.8051752
850,NaN,NaN,NaN,1.54117224166535e-06,NaN
900,NaN,0.00388150564361695,NaN,NaN,NaN
950,19375123.4873065,NaN,NaN,NaN,NaN
1000,17052255.9772813,NaN,NaN,NaN,17880016.9977524
1500,8786567.59738996,0.00196847794395116,NaN,2.71261283471459e-06,9716467.67188433
2000,4576824.49623019,0.00123022301350007,NaN,2.96293478101722e-06,5346841.64771794
2500,3945387.07551342,0.000635871758306402,NaN,2.78754731314738e-06,1661558.87094944
3000,1374922.99430098,0.000377391717198893,NaN,2.50435772456014e-06,NaN
3500,NaN,NaN,NaN,1.90863849695188e-06,926819.92922591
4000,668610.769337603,7.82884143040597e-05,NaN,NaN,933757.021241246
4500,1890779.78124714,NaN,NaN,1.23139956924539e-06,NaN
5000,NaN,9.12280953169053e-05,NaN,9.41009815359044e-07,2176489.95557259
6000,NaN,-3.17323408867006e-06,NaN,5.79528358143312e-07,NaN
7500,NaN,0.000110937408431768,NaN,2.91711958572904e-07,NaN
8500,NaN,NaN,NaN,2.13088626668237e-07,NaN
