t,EGFR_Obs,pAkt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,66605533.2389532,5.36720585576156e-06,167.81697467302,-1.47964544196303e-07,68129313.1283162
35,NaN,NaN,NaN,NaN,59981615.0305964
40,28374770.1976449,NaN,NaN,NaN,NaN
45,NaN,NaN,169.461009884509,NaN,NaN
65,NaN,NaN,NaN,NaN,48317855.3830103
80,11732928.9695696,NaN,NaN,NaN,NaN
95,NaN,NaN,158.86407441376,NaN,NaN
100,9376635.49222939,NaN,NaN,NaN,32170619.4489381
150,3215505.90012016,NaN,159.21987506408,NaN,14343985.1724496
200,NaN,NaN,167.197434280954,NaN,5912901.93080468
250,1822271.76371755,0.0180036425523167,173.437462916612,NaN,2034614.0750356
300,-805508.716095511,NaN,163.445561793269,NaN,1008532.72373921
350,1138038.48689033,NaN,NaN,NaN,355969.148728704
400,NaN,NaN,168.768199959787,1.64108137588672e-06,1329381.95385604
450,NaN,NaN,164.55219460939,NaN,NaN
500,NaN,NaN,NaN,NaN,-51043.3908121524
550,NaN,0.00296155360946222,159.640598501254,NaN,NaN
600,NaN,NaN,NaN,NaN,115368.781810534
650,NaN,NaN,161.602302388853,NaN,NaN
700,NaN,NaN,NaN,NaN,-237891.72768753
800,NaN,NaN,159.402351420679,3.61112324318949e-06,NaN
850,NaN,0.000375095367015409,NaN,NaN,NaN
1000,NaN,0.000257257094536894,NaN,3.90334758767471e-06,NaN
1500,NaN,0.000259150970975155,NaN,3.80174687615953e-06,NaN
2000,NaN,0.00023520932105532,NaN,3.08621923074951e-06,NaN
2500,NaN,5.31319231915678e-05,NaN,NaN,NaN
3000,NaN,NaN,NaN,1.82502204568279e-06,NaN
3500,NaN,9.77713451053946e-05,NaN,1.54619525063272e-06,NaN
4000,NaN,NaN,NaN,1.08133695903204e-06,NaN
5000,NaN,NaN,NaN,7.04985378830336e-07,NaN
6000,NaN,NaN,NaN,3.84317219578981e-07,NaN
7000,NaN,NaN,NaN,2.4893264674655e-07,NaN
8500,NaN,NaN,NaN,6.20491215493661e-08,NaN
