t,EGFR_Obs,pAkt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,67866718.034966,-7.585591048139e-05,164.675028942827,-3.08175023125083e-08,66582213.4899967
55,NaN,NaN,167.63089975716,NaN,59298180.2718513
65,41708739.7922304,NaN,NaN,NaN,NaN
100,NaN,NaN,161.731335055637,NaN,48030679.5240271
150,22445799.3685409,NaN,NaN,NaN,NaN
200,16399859.4126997,NaN,164.895419136926,NaN,25626517.4248531
250,11879656.3106772,0.0199632791399532,153.89301819996,NaN,17217951.1933089
300,NaN,NaN,157.699413378154,NaN,10886894.9181968
350,5011909.10306642,NaN,NaN,NaN,NaN
400,NaN,NaN,174.715722714962,NaN,6150855.25214304
450,2748013.20298726,NaN,NaN,1.95155617216533e-06,NaN
500,NaN,NaN,163.911914707787,NaN,4298744.14797155
550,2124868.23581707,0.0102589588825493,NaN,NaN,NaN
600,NaN,NaN,160.055797668225,NaN,1205895.30154897
650,173904.830117247,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,1098300.39147849
750,NaN,NaN,152.610150367616,NaN,NaN
800,-770193.77672179,NaN,NaN,NaN,NaN
850,NaN,0.00299162161580031,NaN,NaN,-1511567.22781241
900,NaN,NaN,162.453792163106,4.65463263542737e-06,NaN
1000,558105.195898346,0.00170700916039371,NaN,NaN,-868587.238127262
1500,NaN,0.000227670169971151,NaN,5.44144428596493e-06,NaN
2000,NaN,7.42555869676584e-05,NaN,4.75646756253782e-06,NaN
2500,NaN,0.000117319089953912,NaN,3.91302785582878e-06,NaN
3000,NaN,0.00044445800466817,NaN,2.973633040648e-06,NaN
3500,NaN,0.000287899686604776,NaN,NaN,NaN
4000,NaN,NaN,NaN,1.59945173656608e-06,NaN
5000,NaN,NaN,NaN,1.08270438607987e-06,NaN
6000,NaN,NaN,NaN,4.99610017657527e-07,NaN
7000,NaN,NaN,NaN,3.31530742616079e-07,NaN
8500,NaN,NaN,NaN,3.08102122979151e-07,NaN
