t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs
0,7884.47909662086,0,0,10.8124102312528
2,949.423218987039,NaN,NaN,NaN
3,NaN,238.58222759226,NaN,12.6921614326906
3.5,NaN,NaN,171.338006872958,NaN
4,98.3363028352053,NaN,NaN,NaN
6,16.3861733229683,2974.16759819467,NaN,NaN
6.5,NaN,NaN,NaN,61.1396674417588
7.5,NaN,NaN,5323.56725959629,NaN
8.5,10.0743251234895,NaN,NaN,NaN
9.5,NaN,23003.3747422208,NaN,NaN
10,10.5057584127095,NaN,20972.0007818655,875.383217520496
15,10.2873348993152,2409.84947702321,20387.7305456701,3145.4561867028
20,NaN,260.533556866159,11150.3240935883,4704.34578793765
25,NaN,NaN,8147.28877863231,5654.53136170462
30,NaN,4.04766167599633,NaN,6704.72825985907
35,NaN,0.470688813448582,4366.34176033497,7156.61395600186
40,NaN,NaN,3176.21843574632,NaN
45,NaN,NaN,NaN,8255.58197588975
50,NaN,NaN,2316.16772333529,NaN
55,NaN,NaN,NaN,7956.30735826694
60,NaN,NaN,1596.85138217407,NaN
70,NaN,NaN,NaN,8415.23602716194
