t,K27me0K36me0_Obs,K27me1K36me0_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me2K36me1_Obs
0,0.00257319820099181,0.00182997002258921,0.00867803682104712,0.00680422938300539,0.0113742850333072
0.3,0.00014177167264991,NaN,NaN,NaN,NaN
0.65,5.12953814952402e-06,NaN,NaN,NaN,NaN
1,1.06371273680254e-06,NaN,NaN,NaN,NaN
1.5,1.00994634776834e-06,NaN,NaN,NaN,NaN
2,9.17321098169342e-07,NaN,NaN,NaN,NaN
2.5,1.04791638532797e-06,NaN,NaN,NaN,NaN
3,8.12766159172254e-07,NaN,NaN,NaN,NaN
3.5,NaN,0.00121146468852869,NaN,0.0086571897800462,0.0065005929240352
4,NaN,NaN,0.00745387483632986,NaN,NaN
7.5,NaN,0.00139087121235737,0.00842673467757473,0.0113034467055143,0.00900297462691481
10,NaN,0.0014116433611704,0.00746234476187413,0.00625092211699685,0.0059739828994973
15,NaN,0.00138795387005345,0.00656480733292168,0.0084426708566948,0.0102724462736586
20,NaN,0.00107340489858546,0.00800680015630751,0.0064597599722072,0.00903746069161273
25,NaN,0.00126108620101569,0.00697789628005756,0.00756815230947469,0.00785283299034617
35,NaN,0.00146986260520911,0.00879566955810865,0.00594883962099992,0.00780660888051203
40,NaN,0.00110323450968589,0.00841291819583212,0.00908679079124962,0.0111036513473866
50,NaN,0.00131970514797347,0.00824574822486661,0.00734698464323052,0.00962694864031721
60,NaN,0.00201718306748876,0.00926756326348591,0.0077661099775684,0.0115577744867406
