t,S4_Obs,geneH_Obs,Compound_2_Obs
0,71.8286205340768,1.14073749472765,313.986175044469
30,NaN,NaN,160.816920516951
35,26.7184378155982,NaN,NaN
60,NaN,NaN,143.694525792283
75,31.7421344081377,2.28162080073753,NaN
90,NaN,NaN,88.6773482910175
100,37.2787010990059,NaN,149.515285782211
150,53.0131072284432,2.23734793428307,154.249324218072
200,54.1586727657483,NaN,223.371371681541
250,48.2444499347443,1.57883979603176,256.609125277569
300,71.9898990831538,1.36024194553765,264.05646327302
350,54.1701761654637,NaN,292.781785501254
400,NaN,1.44154209570274,320.625736888653
450,61.0672712548657,NaN,NaN
500,57.53813559186,1.32075931771434,292.259214636686
600,77.4430059697037,NaN,234.166282687033
650,NaN,1.43492395191466,NaN
750,57.5865420864511,NaN,NaN
800,NaN,1.78038027070071,NaN
950,NaN,0.867817719297308,NaN
1000,NaN,0.650382480756253,NaN
1500,NaN,0.843096953673646,NaN
