t,S4_Obs,geneH_Obs,Compound_2_Obs
0,64.1048055795473,0.701112727403393,149.402662404057
35,36.6301913242776,NaN,NaN
40,NaN,NaN,54.1114167730584
70,33.3149031492612,NaN,NaN
75,NaN,2.25175556552428,NaN
85,NaN,NaN,90.206832570222
100,44.0181807215423,NaN,NaN
150,57.8984281765403,1.97776385468725,90.4598205412692
200,45.1173316441612,NaN,115.167785803427
250,66.5853642911098,2.26351709482101,130.660715195717
300,49.4545028362049,2.14632072823056,144.928962407886
350,71.7970463748943,NaN,137.407237745407
400,NaN,1.99800419057758,NaN
450,68.4899775777712,NaN,170.528629275848
500,57.2826670436614,NaN,NaN
550,NaN,1.6041730841221,142.541975820947
600,56.6355675814168,NaN,NaN
650,NaN,1.87237470301758,160.103020692784
800,NaN,0.802416530522898,148.251097713536
1000,NaN,0.978624529116752,NaN
1500,NaN,0.805057575530238,NaN
