t,S4_Obs,geneH_Obs,Compound_2_Obs
0,60.633727718612,1.08640676345425,335.733073629729
35,52.6018537951543,4.71762170886974,160.213515474989
65,60.5565718053602,NaN,NaN
70,NaN,6.27310435788613,NaN
75,NaN,NaN,126.687666343495
100,55.8004873891285,5.50237374090847,119.95613760406
150,65.7491131950069,6.12065881619925,174.277415045795
200,65.2821317393473,5.23473995881477,181.383195874554
250,63.9224377791631,5.97162638480395,257.650047299816
300,91.0818953502046,5.57592475591757,290.276150499877
350,49.5563470938059,NaN,NaN
400,69.71680149605,4.17076635712372,310.62005751167
450,NaN,4.91637687789687,310.33511537182
500,65.7114584808261,NaN,NaN
550,NaN,4.35365828634988,349.935843287531
600,61.1318477500177,NaN,NaN
650,NaN,NaN,377.786829199697
