t,S4_Obs,geneH_Obs,Compound_2_Obs
0,206.306398615888,0.866123975670507,179.655115336635
35,128.085626625015,NaN,96.0187598150093
65,131.368453932064,NaN,NaN
70,NaN,NaN,109.036657132777
75,NaN,1.49972676293357,NaN
100,119.56532411207,NaN,105.008862028316
150,122.287180370695,1.6133592069276,110.680922945519
200,135.986529800957,NaN,119.752989110173
250,124.076051837179,1.62381037497597,136.221747622313
300,NaN,1.38223832375662,170.911677534011
350,233.659307470718,NaN,NaN
400,NaN,1.2257694865962,195.110689387939
450,NaN,NaN,139.653314847994
500,NaN,1.46246139570876,NaN
550,NaN,NaN,113.133612391893
650,NaN,2.32465792900671,NaN
700,NaN,NaN,162.259298487635
800,NaN,2.13117399544644,NaN
1000,NaN,1.10993166020727,NaN
1500,NaN,1.25197765368904,NaN
