t,S4_Obs,geneH_Obs,Compound_2_Obs
0,60.9079543444435,1.02314051211799,140.229989857334
9,NaN,NaN,130.354441638037
10,37.8041072225195,1.06217586149728,NaN
20,66.7542177808102,NaN,185.370183717814
25,NaN,0.972109746294817,NaN
30,NaN,NaN,146.206598581807
35,71.9548075726805,0.962176907191051,NaN
40,NaN,NaN,184.902485924758
50,78.7518466128294,1.03619462659665,NaN
55,NaN,NaN,115.839964942525
65,79.3858700667655,NaN,NaN
70,NaN,0.78325269010937,158.103302880072
80,61.081905499829,NaN,NaN
90,NaN,1.0699814380149,NaN
