t,S4_Obs,geneH_Obs,Compound_2_Obs
0,192.096433576563,0.969043706984054,162.544865559998
10,NaN,NaN,170.606903621234
15,230.267001950114,0.969402922977734,NaN
25,NaN,0.945005026144047,126.524245411339
30,230.914210798087,NaN,NaN
40,NaN,NaN,145.401966793201
45,205.505600644816,0.985615203106005,NaN
55,NaN,NaN,188.74806483345
60,171.020595413963,0.893123377790161,NaN
75,NaN,NaN,149.333749044893
80,NaN,0.793380539151947,NaN
85,220.255068927456,NaN,NaN
95,NaN,NaN,152.168597088519
100,NaN,1.19400789332717,NaN
