t,S4_Obs,geneH_Obs,Compound_2_Obs
0,66.6222682283733,0.999403996051661,299.196353811524
9.5,NaN,0.984313616458707,NaN
10,62.0572083044563,NaN,399.250747361229
20,NaN,1.07628137970888,406.306513863325
25,88.7014338806029,NaN,NaN
30,NaN,1.04618950441669,NaN
35,54.9447335988744,NaN,373.491333065654
40,NaN,0.935462406391933,NaN
50,66.4866931851302,NaN,357.133528124131
55,NaN,1.2389739881381,NaN
65,80.2296570933878,NaN,337.548537156427
70,NaN,1.00656445297733,NaN
85,61.9009530676614,0.724272189410474,474.745408129703
