t,STAT5A_Obs,pApB_Obs,pBpB_Obs
0,478.477213823653,0.060781214350039,1.34103395693307e-09
15,NaN,NaN,7.96390491746401e-07
20,8.28575940578892,104.160363977936,NaN
30,NaN,NaN,3.88498920229083e-07
40,11.970731438588,13.7580199420159,NaN
50,NaN,NaN,1.30464669981742e-06
60,51.2258867435791,7.95543026977027,NaN
70,NaN,NaN,1.0960865572918e-07
80,16.8968460878059,14.3325482579651,NaN
95,NaN,NaN,1.91012912515008e-07
100,29.1787760270336,12.4681769337486,1.52255409661791e-07
150,109.765765620291,4.82804558855985,4.96834981473104e-08
200,25.3493666293118,5.56571626365516,NaN
250,134.163614087339,20.6880195573492,NaN
300,64.0637074410439,3.19227501690929,NaN
350,179.724400984052,6.83677935417557,NaN
400,38.3238040012457,0.876051304648118,NaN
500,20.8786120745113,NaN,NaN
