t,STAT5B_Obs,pApA_Obs,pBpB_Obs,nucpApA_Obs
0,63.9341029291563,5.09459022400304e-08,1.74281446498825e-08,0.597254058881204
15,NaN,6.00256620083779e-06,2.02551211579752e-06,145.291735450584
20,10.1711762992976,NaN,NaN,NaN
25,NaN,3.42610284543019e-06,NaN,NaN
30,NaN,NaN,NaN,155.033818134622
35,NaN,NaN,5.97851319335013e-07,NaN
40,7.74849425389267,2.25607238603686e-06,NaN,NaN
45,NaN,NaN,NaN,150.711969879467
55,NaN,NaN,3.96539916799824e-07,NaN
60,NaN,2.10220771135116e-06,NaN,NaN
65,8.98645094061423,NaN,NaN,149.366842035967
75,NaN,NaN,2.48167901478764e-07,NaN
80,NaN,1.73066792804811e-06,NaN,135.639708284306
85,9.83706969770538,NaN,NaN,NaN
100,8.25803694168428,1.48771908555297e-06,1.53731483459961e-07,129.428238021115
150,13.6552419246045,7.29563776980202e-07,5.12474217958959e-08,113.161099682065
200,15.2872607936933,NaN,NaN,91.8270257304382
250,16.2810168905672,NaN,NaN,71.3803958527466
300,18.6574956751123,NaN,NaN,59.8324417983394
350,20.4976323416564,NaN,NaN,42.7741589259644
400,23.6169972545553,NaN,NaN,41.6575683709179
500,24.1406868531843,NaN,NaN,NaN
600,25.9415020355966,NaN,NaN,NaN
