t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs,Pathogen_Obs
0,8129.43611649502,212.279009557358,952.569213363569,43.9097873937067,1.02327467481117
2,3004.14395518773,7.78566564438663,NaN,NaN,NaN
2.5,NaN,NaN,NaN,NaN,1.32410752728843
3.5,NaN,NaN,573.341012560478,294.086582578158,NaN
4,839.907619660182,756.726227668967,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,2.01925659387833
6,NaN,2136.21666179648,NaN,NaN,NaN
6.5,236.584898031227,NaN,784.335868891962,NaN,NaN
7,NaN,NaN,NaN,-703.281817485081,3.79180716317193
8,NaN,25634.862642845,NaN,NaN,NaN
9,186.964983278613,NaN,NaN,NaN,NaN
10,71.6166165513312,40073.379928327,43698.3605597264,1053.56372166127,1.21612058548682
15,84.7317609623083,1369.75127466644,29685.5903826545,2612.7119042668,0.119346400637748
20,41.0319624838228,-694.016262037553,15421.0539764138,4847.67989755321,0.0404825057182208
25,NaN,NaN,11722.2790046491,5762.35921165543,0.085375646854186
30,NaN,NaN,6793.85036067361,NaN,-0.150543770327612
35,NaN,NaN,8453.3462200214,6610.29448028975,NaN
40,NaN,NaN,NaN,6639.32958259831,0.0462383294960082
45,NaN,NaN,4587.22095484744,NaN,NaN
50,NaN,NaN,NaN,7668.40973338876,NaN
55,NaN,NaN,3783.29325831617,NaN,NaN
