t,EarlyEffector_Obs,Memory_Obs,Pathogen_Obs
0,0,34.0532940077261,1.26383229904437
2,396.492061309816,NaN,NaN
3,NaN,NaN,0.326920876501103
4,94.0793655492536,1219.61623456937,NaN
6.5,5264.31701082519,NaN,0.369445242853238
8.5,NaN,962.268594406602,NaN
9,31990.3825375239,NaN,NaN
10,125224.254439256,NaN,6.28029959308698
15,1752.91748681113,409715.287459856,0.137096742959047
20,1416.21177896339,1745.31619652754,0.0116298826515774
25,NaN,630377.557247937,0.0457787259314898
30,NaN,949.301831372706,NaN
40,NaN,15865.2294072987,NaN
50,NaN,163286.792864741,NaN
