t,X_protein_Obs,Y_protein_Obs,GFP_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,-85.6947573634793,1086.7990182292,2.56479309902049,667.72950730944,7.2098338568312e-06
6,NaN,NaN,NaN,NaN,-7.2604931129364e-08
10,NaN,NaN,NaN,NaN,1.77753443534513e-08
20,2836.20607024165,NaN,NaN,-12.7115652270996,3.27179353190942e-09
25,NaN,NaN,NaN,NaN,4.09899201950758e-08
30,NaN,7111.61861163034,NaN,NaN,NaN
35,NaN,NaN,NaN,-11.4158950174194,-1.05127848825663e-08
40,1051.40745411451,NaN,NaN,NaN,1.20418766874572e-07
55,NaN,NaN,NaN,-4.87943277000842,-1.62069594558327e-09
60,467.908003541254,NaN,NaN,NaN,NaN
65,NaN,1777.22888293119,30.5105801776008,NaN,5.68517858519723e-08
75,NaN,NaN,NaN,9.95828477591658,NaN
85,614.900635565599,NaN,NaN,NaN,NaN
100,1354.31843118457,1162.61397836933,NaN,-11.9102288917512,NaN
150,729.705744675085,190.659480401323,56.5618831286813,-9.64208147652937,NaN
200,1264.62405860563,735.913555536589,70.7333204186515,2.15635413359698,NaN
250,544.874614654388,550.640805401164,71.0141827533044,18.18333091519,NaN
300,NaN,309.856595799878,NaN,8.82056406353526,NaN
350,302.488487601574,971.761094712722,85.8668345920955,NaN,NaN
450,NaN,1028.59097087103,49.6632076579435,NaN,NaN
550,NaN,NaN,84.6505972945532,NaN,NaN
650,NaN,NaN,65.3486882439974,NaN,NaN
800,NaN,NaN,66.894969364433,NaN,NaN
1000,NaN,NaN,76.03107950089,NaN,NaN
1500,NaN,NaN,61.9336379362048,NaN,NaN
