t,STAT5B_Obs,pApA_Obs,nucpApB_Obs,Compound_1_Obs,Compound_2_Obs
0,50.5682314089376,0,0.0748029463089421,301.404058406669,45.4721651869329
8,NaN,4.15891469820797e-06,NaN,NaN,NaN
15,12.050452377826,8.69560767125355e-06,NaN,14.1646401754441,NaN
20,NaN,NaN,63.5397377452862,NaN,NaN
25,NaN,2.50980524965606e-06,NaN,NaN,NaN
30,11.2571778594575,NaN,NaN,27.8975089115164,15.5766682605154
35,NaN,2.91252458398479e-06,186.028656138767,NaN,NaN
45,7.63772790068246,2.05257550739531e-06,NaN,36.1250633016519,NaN
55,NaN,NaN,22.7700736558119,NaN,NaN
60,NaN,2.36951016231538e-06,NaN,52.3303260182822,14.8693344652955
65,8.63652914414518,NaN,NaN,NaN,NaN
75,NaN,2.81764573639129e-07,30.6424979372933,NaN,NaN
80,8.70969652097522,NaN,NaN,102.921152778413,NaN
90,NaN,NaN,NaN,NaN,24.9079837006915
100,27.4930353871262,NaN,50.8269382688869,21.5643400862757,12.1467839584403
150,10.6807592440304,NaN,39.4373052304228,72.5602385256434,7.39130915883598
200,29.1552210184468,NaN,49.7461972350216,171.429983905044,16.0333314341488
250,112.788061404475,NaN,55.5594064842198,60.6500105881633,41.8982758840828
300,79.9898753973248,NaN,81.7496793095989,126.62790652234,41.3866372598842
350,25.8071652277557,NaN,154.643755652586,129.082869733682,19.0932492098799
450,NaN,NaN,NaN,NaN,29.2509002886831
550,NaN,NaN,NaN,NaN,39.1462046128584
650,NaN,NaN,NaN,NaN,20.9286706244986
