t,Compound_2_Obs,Compound_3_Obs,Compound_7_Obs,Compound_8_Obs
0,0.0278788620839066,116.996331105244,309.005047644837,1.2405311243715
6,NaN,176.442403055453,NaN,NaN
7,NaN,NaN,219.644627996988,NaN
8.5,NaN,NaN,NaN,2.11306146651558
10,NaN,193.574292599166,NaN,NaN
15,0.123952317195386,NaN,259.039079309342,NaN
20,NaN,161.275329976803,265.169513451525,1.70613923035861
25,0.0723730658247676,166.370719666331,NaN,4.27794722950975
30,NaN,NaN,232.618316655311,NaN
35,NaN,205.025796730397,NaN,1.11192038862658
40,0.0978109830814056,NaN,186.654453848922,NaN
45,NaN,232.344966396154,NaN,NaN
50,NaN,NaN,204.189514642301,4.78145675336212
55,0.127784719599565,214.211391640667,NaN,NaN
60,NaN,NaN,238.484201469728,4.78585132135428
65,NaN,102.826444351655,NaN,NaN
70,NaN,NaN,178.222889354956,NaN
75,0.122802758501613,NaN,NaN,5.2710582956193
80,NaN,98.324265824186,NaN,NaN
85,NaN,NaN,146.928843042708,NaN
95,0.160148974930855,NaN,NaN,8.54201057190764
100,0.0941893906879423,204.712412070107,262.974561051308,9.70699813668689
150,0.0811392497505792,NaN,250.18633738065,12.0672918922516
200,0.10260532879337,NaN,NaN,NaN
