t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,2.14022784172122,0.0722133140171195,53.8287925566358,103.339265141078,-0.019840799411138,122.935982985197,126.129537161075,-4.65751523397126
20,2.85441655560887,NaN,NaN,NaN,NaN,50.2711414298216,NaN,NaN
25,NaN,NaN,NaN,37.4710075560467,0.198030176081566,NaN,85.5440336228109,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7382384446254
40,NaN,0.134122761600419,50.3652251824788,NaN,NaN,104.907654322871,NaN,NaN
45,1.92454872491291,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,0.191571570226049,NaN,39.8360826800428,NaN
55,NaN,NaN,NaN,64.8177409226309,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,75.3646061158775,NaN,NaN
70,2.3333182152053,NaN,NaN,NaN,NaN,NaN,NaN,21.7797753337768
75,NaN,NaN,NaN,NaN,0.203679375512276,NaN,134.652427049715,NaN
80,NaN,0.1945541180904,65.4805081585544,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,91.2017875569362,NaN,93.03418814861,NaN,NaN
100,2.43642367635649,0.224534289164776,74.5487751403902,54.7857342198544,0.217089940249306,115.977387832605,88.0077959871373,22.1087963525977
150,2.64041321269216,0.166595537501366,55.6614719415722,91.23768055406,0.112029703520719,110.095854756477,119.15376914276,31.5116723541492
200,3.19205079142421,0.109110406542545,64.1625044186049,107.900851281214,0.157888050957054,117.72791649666,106.597452479479,30.2404667304543
250,3.16830638058512,NaN,NaN,63.2093896572178,0.140652398035908,56.894902608895,79.6179811423377,26.5105068076165
300,2.6488528830686,0.0636089205187567,71.5761196622757,94.3063277950569,0.0733244288450044,104.256403531943,126.401688813696,19.3533856689635
350,NaN,0.0737660176712473,51.4042572302805,NaN,NaN,125.437036694659,105.036779237536,25.3701918143039
400,NaN,NaN,79.1839051535483,82.9028996334528,0.0944996574240258,NaN,NaN,NaN
450,NaN,0.158372867959284,NaN,NaN,NaN,NaN,127.561640464301,13.912032649285
500,NaN,NaN,61.79939224575,89.8540873985214,NaN,NaN,NaN,11.0686293744072
550,NaN,0.113064874438925,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,40.8746827139957,NaN,NaN,NaN,NaN,22.5090764798643
650,NaN,0.126962526785683,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,34.8439470286069,NaN,NaN,NaN,NaN,13.9909370773696
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9223099353193
