t,Compound_1_Obs,Compound_5_Obs,Compound_6_Obs
0,2.29392375851065,0.108836433184892,116.242987314572
4,2.31155721022441,NaN,NaN
4.5,NaN,NaN,131.126429266351
6,NaN,-0.0834611219718957,NaN
8,1.82415061467192,NaN,NaN
8.5,NaN,NaN,121.668852385007
10,2.3409121352191,-0.0620323317355672,NaN
15,2.67892468064349,NaN,129.892190911459
20,2.21645770492527,-0.105875440691461,112.144781485983
25,NaN,-0.108911735279386,132.899142761533
30,2.66747969091732,NaN,102.291285322186
35,2.05474204260445,-0.0277647321615393,NaN
40,2.3417207532289,0.0642799318616429,111.150264372977
50,2.29829442591529,NaN,105.311011868263
55,NaN,-0.0205892978949545,NaN
60,2.79029612121137,NaN,130.733136228218
65,NaN,0.129759607379492,NaN
70,2.19107680714755,NaN,117.8116637986
80,NaN,-0.248339090184418,NaN
