t,Compound_1_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,2.51720544162709,-20.3081366073083,0.0210562101535513,19.8298105036229
15,NaN,9116.22183943459,NaN,NaN
30,NaN,3817.79633202875,0.00586074975094645,NaN
35,1.891843884288,NaN,NaN,13.2295981379303
50,NaN,727.057031491575,NaN,NaN
55,NaN,NaN,0.0128015935111968,NaN
70,NaN,21.1229498653676,NaN,19.6733867833155
75,0.789202890826104,NaN,NaN,NaN
90,NaN,-226.294326421373,0.0249418807882855,NaN
100,0.163584630881853,-63.3109262323771,0.0451050242347397,20.0728938465478
150,0.133463881536932,-43.5813902427324,0.0845226478769165,17.319673331218
200,0.271825462091287,33.7716553957165,0.0782135824194106,19.5784503872067
250,NaN,NaN,0.0715627298942799,18.1388019828687
300,0.1797643164733,NaN,NaN,NaN
350,0.481354737184973,NaN,NaN,15.6607470141865
