t,epo_level,Compound_7_Obs
7,2.5e-09,130.843208624009
7,7.905e-09,106.255793325976
7,7.905e-09,108.499779641967
7,7.905e-09,113.941763881066
7,1.25e-08,97.0480980562159
7,1.25e-08,113.012919939641
7,1.25e-08,138.293780105677
7,1.75e-08,100.713016633293
7,1.75e-08,104.992831718763
7,1.75e-08,119.133215549826
7,2.5e-08,78.7333658409901
7,2.5e-08,124.495417308371
7,2.5e-08,128.327666361478
7,3.95e-08,64.4861627515114
7,7.9e-08,62.8208781384432
7,7.9e-08,123.877030631988
7,7.9e-08,126.36229030049
7,1.25e-07,78.6844919050892
7,1.25e-07,82.9779975943983
7,1.25e-07,85.8803002155865
7,1.7675e-07,20.3132650436228
7,1.7675e-07,63.5274966292271
7,1.7675e-07,78.0432197535668
7,2.5e-07,41.4465477401944
7,2.5e-07,48.3771606382963
7,2.5e-07,79.5460469831415
7,7.905e-07,-9.46894450947799
7,7.905e-07,37.6097820450544
7,7.905e-07,77.8339955984201
7,2.5e-06,59.5154417057794
