t,PTP_Obs,nSTAT5_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs
0,44.1908264188521,-0.386269635188614,0.0256111059740113,43.9665709902595,33.0141296242381
10,34.3751822474145,NaN,NaN,NaN,NaN
15,NaN,1.62601340411849,NaN,NaN,NaN
20,48.3339140426998,NaN,0.0283574797087571,NaN,NaN
25,NaN,NaN,NaN,41.0113030868537,37.2325987745728
30,37.218836015253,NaN,NaN,NaN,NaN
35,NaN,5.22047865910861,NaN,NaN,NaN
40,NaN,NaN,0.0365429784427408,NaN,NaN
45,42.8871075372627,NaN,NaN,NaN,43.1712638186868
50,NaN,NaN,NaN,41.2873852809654,NaN
55,36.5874624065833,7.62042643345563,NaN,NaN,NaN
60,NaN,NaN,0.051384969697231,NaN,NaN
70,31.6936658057451,NaN,NaN,NaN,38.1577420892058
75,NaN,8.28243096316724,NaN,NaN,NaN
80,NaN,NaN,NaN,33.4574259854658,NaN
85,NaN,NaN,0.0952999981521662,NaN,NaN
90,42.6590215912613,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,42.7701744507555
100,33.810386282884,6.55973181495151,0.0972400201264772,32.3448066890122,NaN
150,42.9906031926907,3.48645775619327,0.0836608173031763,37.2107704193707,34.0664226762282
200,NaN,3.52970109039447,0.0548298729063629,46.7319999984886,44.6723547502476
250,NaN,NaN,0.0455581771082928,46.7686176668715,39.6015062991027
300,NaN,NaN,NaN,45.3133976133758,40.2914183337511
350,NaN,NaN,NaN,34.7130313520538,46.4746533334036
400,NaN,NaN,NaN,41.5756401841505,46.6762021594593
