t,epo_level,Compound_2_Obs
49,2.5e-09,33.5715366886287
49,2.5e-09,39.0915759663586
49,2.5e-09,40.3283210482224
49,2.5e-08,38.3949041292154
49,2.5e-08,44.5462234239422
49,2.5e-08,49.3335261175964
49,1.25e-07,33.2086248619496
49,1.25e-07,43.4265889821926
49,1.25e-07,48.3014419247222
49,2.5e-07,41.490998532845
49,2.5e-07,42.2541775520815
49,2.5e-07,46.4014571850268
49,1.25e-06,36.0712945072885
49,1.25e-06,36.516197084881
49,1.25e-06,45.9814371695049
49,2.5e-06,34.2824974286224
49,2.5e-06,40.7902531429484
49,2.5e-06,42.9427091414625
