t,PTP_Obs,nSTAT5_Obs
0,37.8948529664359,0.0184956897109514
4.5,43.3761388228647,NaN
9,44.3191594708674,NaN
10,NaN,0.118673508402985
15,42.2540012308015,NaN
20,39.9768289951495,NaN
25,42.7730432975216,0.935277785425481
30,41.0532907050492,NaN
40,45.8721107906765,0.964573627750368
45,34.37340187036,NaN
50,NaN,1.03005374820424
55,43.9272738233859,NaN
70,41.9241575034918,0.646186650232697
80,46.5766646553881,NaN
85,NaN,0.668736244607636
100,NaN,0.528614129777872
150,NaN,0.560890466298381
200,NaN,0.445858744502019
250,NaN,0.586981788069163
