t,PTP_Obs,nSTAT5_Obs,Compound_2_Obs
0,171.803727368781,0.0432724048236011,170.730482202263
3.5,204.32940471031,NaN,NaN
7.5,132.919555579956,NaN,NaN
8,NaN,NaN,173.938855029354
9.5,NaN,0.314322394481858,NaN
10,167.074293072726,NaN,NaN
15,140.670053515404,NaN,171.337032595533
20,214.030968204275,1.04807708981955,NaN
25,155.857434613449,NaN,189.649688824165
30,NaN,2.70417419948562,NaN
35,155.254277236319,NaN,163.300370148574
40,181.233223955914,4.16196037087424,NaN
45,NaN,NaN,166.867043156139
50,152.650040256971,4.52287767823223,NaN
55,NaN,NaN,171.983621486307
60,165.766772499368,NaN,NaN
65,NaN,4.80737759205748,NaN
70,NaN,NaN,186.73495352246
75,NaN,4.34536877253111,NaN
85,NaN,NaN,197.341518060944
95,NaN,4.06903260422246,NaN
100,NaN,4.86641452617573,172.332540987513
150,NaN,2.5628755827058,226.143502813079
200,NaN,1.78391828459839,NaN
