t,PTP_Obs,nSTAT5_Obs
0,43.6760601860052,0.100851418741484
5,35.5770165400929,NaN
10,52.8930232861811,0.360802965445098
15,37.7317090125236,NaN
20,41.5359385441419,NaN
25,28.8770420553385,0.802617395090919
35,48.1150859525602,0.845575732229233
40,35.4804753343579,NaN
50,48.8760266258023,0.918595586414144
60,23.9818900537607,NaN
65,NaN,0.83601192418971
75,38.4904902502578,NaN
85,NaN,0.765510228619734
90,41.3312636154746,NaN
100,NaN,0.417366120555318
150,NaN,0.365639899846422
200,NaN,0.484973112438115
