t,PTP_Obs,nSTAT5_Obs
0,41.4095319828684,0.118294509174456
5,37.6811728132104,NaN
10,41.1491807622267,NaN
15,41.8761780860943,NaN
20,39.3016534762153,3.08759975348548
30,44.2426234514683,NaN
35,40.4951548854179,5.44394368592456
45,41.1365009258072,NaN
55,47.9085255162095,6.88242119966036
70,40.1274154915997,NaN
75,NaN,6.66145581177417
85,29.7874998940575,NaN
100,NaN,6.5359027543587
150,NaN,4.73669985835007
200,NaN,2.8049971601804
250,NaN,3.78451048835121
300,NaN,4.40386322102156
350,NaN,4.67582031242892
