t,PTP_Obs,nSTAT5_Obs
0,43.4758209729004,-0.319091349727448
4,34.9942354310383,NaN
8.5,47.9476989967702,NaN
9.5,NaN,-0.55401943968961
15,42.2908678159016,NaN
20,37.6153182601732,2.20732317878044
25,45.6833708712557,NaN
30,42.9020330685866,6.1590653676376
35,33.1177132473091,NaN
40,NaN,7.73859150623359
45,43.882963874643,NaN
50,37.1581295043627,NaN
55,NaN,7.86497077301897
60,38.4816933590007,NaN
65,NaN,7.80231208297833
75,34.5155159535269,NaN
85,NaN,5.3842491570544
100,NaN,6.89611759200708
150,NaN,4.03693653875462
200,NaN,3.56938111241281
